CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
Croix de Chavaux,4,1,3,0,0,1,0,4
Terrain de football Synthétique n°1,4,0,3,1,0,2,0,4
gymnase Paul Eluard,4,0,3,1,0,1,0,4
Gymnase De La Coussaye,4,2,1,1,0,2,0,4
LE FIVE Orléans Ingré,4,3,0,1,0,4,0,4
Sport dans la Ville - Ile-de-France,4,2,0,2,0,3,0,4
Jardin de la Ménagerie,4,0,1,3,0,1,0,4
Stade Alain Mimoun,4,0,2,2,0,3,0,4
Stade Robert Lemoine,4,0,3,1,0,2,0,4
Complexe Sportif de Pins-Justaret,4,1,2,1,0,1,0,4
Football 5 Club Rosny,4,1,1,2,0,3,0,4
Antony Football Evolution,4,3,1,0,0,1,0,4
Stade Gaston Bussière,4,2,1,1,0,3,0,4
Stade du Clos Layat,4,0,3,1,0,3,0,4
Garden Soccer,4,0,3,1,0,2,0,4
Urban Football Meudon,4,0,1,3,0,3,4,0
Stade Henri Guérin,4,2,2,0,0,1,0,4
Stade Gabriel-Thibault,4,2,1,1,0,3,0,4
City Stade des Grands Champs,4,1,0,3,0,2,0,4
Smash Goal Nantes,4,0,1,3,0,2,0,4
Z5 Istres,4,1,0,3,0,4,0,4
Collège Pablo Neruda,4,0,2,2,0,4,0,4
Terrain de foot,4,2,2,0,0,4,0,4
Molineux Stadium Conference & Events,4,0,4,0,0,1,0,4
Stade Manuel Mangana,4,2,2,0,0,3,0,4
Centre Sportif François Vincent Raspail,4,2,1,1,0,2,0,4
By foot,4,0,1,3,0,1,0,4
Stade suchet,4,1,2,1,0,1,0,4
Football Club d'Asnières,4,3,0,1,0,1,0,4
Stade Desroys du Roure,4,0,2,2,0,2,0,4
Tennis Club Les Acacias | Tennis & Padel & Calcetto & Piscine & Snack,4,2,0,2,0,4,0,4
LE FIVE Reims,4,1,1,2,0,3,0,4
Angers SCO Footsal,4,2,0,2,0,3,4,0
Teams5 Amiens,4,2,0,2,0,4,0,4
Centre Sportif Lucien Dimet,4,2,1,1,0,2,0,4
Stade de Ville-d'Avray,4,1,2,1,0,1,1,3
Stade Cyprian,4,2,1,1,0,1,0,4
Football Club de Gerland,4,0,3,1,0,1,0,4
Piscine Didot,4,3,0,1,0,1,0,4
Randy Johnson Park Bluff Creek Fields,4,1,1,2,0,2,0,4
Valophis Habitat OPH 94,4,1,2,1,0,1,0,4
Massy,4,3,1,0,0,1,0,4
Gymnase Municipal Maurice Bacquet,3,0,1,2,0,2,0,3
Gymnase Jean-Louis Moulin,3,1,2,0,0,1,0,3
Stade de la Tour aux Parachutes,3,1,0,2,0,1,0,3
CSM Clamart Football,3,1,2,0,0,1,0,3
Pharmacie des Roses,3,0,2,1,0,1,0,3
ASVEL Football - Stade des Iris,3,0,1,2,0,2,0,3
FC SAINT VICTORET,3,1,0,2,0,1,0,3
Auchan Supermarché Lyon Sainte-Foy,3,0,3,0,0,1,0,3
Gymnase Paul-Langevin,3,1,2,0,0,2,0,3
Complexe sportif Arrighi - Stade - Gymnase - Tennis,3,0,3,0,0,1,0,3
Stade Plaisir,3,1,1,1,0,2,0,3
Gymnase de Gency,3,1,0,2,0,3,0,3
Gymnase Pablo Picasso,3,0,1,2,0,1,0,3
Le Temple du Foot,3,3,0,0,0,3,0,3
The Dell Stadium,3,1,2,0,0,1,0,3
The Foot Clinic Birmingham,3,0,2,1,0,1,1,2
Chapter Five Coffee House,3,1,1,1,0,1,0,3
Gymnase Jules Ladoumègue,3,0,0,3,0,1,0,3
DK Park / LE FIVE Dunkerque,3,2,0,1,0,2,2,1
Parking Plaine Nord,3,1,2,0,0,3,0,3
Gymnase Cifarielo Fanara,3,1,1,1,0,2,0,3
Foot,3,1,1,1,0,2,0,3
THE FIVE Tours,3,2,0,1,0,3,0,3
"Esprit Foot Noves : Futsal indoor (5c5, 4c4), Salle de Billard",3,2,1,0,0,1,0,3
GFC Foot Indoor Mulhouse,3,2,1,0,0,1,0,3
Centre Sportif Poliveau,3,1,0,2,0,1,0,3
Stade Saint Tronc Didier,3,2,1,0,0,2,0,3
L PARK - LE FIVE - 4PADEL Lens Liévin,3,1,0,2,0,3,0,3
Centre sportif des Docteurs Augusta et Jules Déjerine,3,0,2,1,0,1,0,3
Stade Robert Gazzi,3,1,1,1,0,1,0,3
UrbanPadel Toulouse - Sept Deniers,3,2,0,1,0,3,2,1
Stade,3,1,0,2,0,3,0,3
Urban Padel - Club de Padel Lille Lezennes,3,1,1,1,0,3,1,2
Gymnase Piat,3,0,2,1,0,2,0,3
LE FIVE Valenciennes,3,1,0,2,0,2,0,3
PADEL AC Roissy,3,1,0,2,0,2,0,3
LE PARK Complexe Multisports,3,1,1,1,0,1,3,0
WTC,3,0,2,1,0,2,0,3
Gymnase de la Goutte d'Or,3,0,3,0,0,1,0,3
