DOC_ID,CENTRE,STATUS,PLACE_ID,LOCATION,DATE
0LstH9T6AMp9jV7enEzy,LE FIVE Bezons,played,ChIJ71Mv0Wpk5kcRg-H9x7L-dXo,48.9190419&2.2117725,2023-10-21T15:30:00.000Z
0LwWI26pt1YMyIOJqXxN,FOOT INDOOR Marseille,published,ChIJ41AMCxC8yRIRLHLGt11sc-U,43.2859688&5.4882746,2023-11-26T09:00:00.000Z
0LzgKZB1jVLC5Nctqx1C,UrbanSoccer - Lyon Parilly,draft,ChIJx3FQWjLC9EcRrrQb2eV7i_4,45.7120399&4.9039284,
0M4ZotExWwNQXEJ22juS,Play Soccer,published,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2023-12-09T15:30:00.000Z
0MAGs9cQMkZGCzta9YTk,Stadium Thiais,played,,48.7511024&2.3713455,2024-01-07T09:30:00.000Z
0MBrM0e4FgGH5PIYUIKP,Top Ten,published,,48.8729106&2.6840919,2023-09-02T19:30:00.000Z
0MRWOkErmYA9tJ35PTka,Aire multisports de la Miolane,published,ChIJN1mrChanyRIRT-qqhW6tnC0,43.1877586&5.7114857,2023-09-20T14:00:00.000Z
0MSFpL2HoXOJIF7Vrv3p,UrbanSoccer Meudon,canceled,ChIJ0WKvjbh75kcRoqSmyWwW2jQ,48.80013599999999&2.2140811,2023-12-20T20:30:00.000Z
0MT8BFvZx0GcGLVHxKeT,Top Ten,published,,48.8729106&2.6840919,2023-10-18T20:30:00.000Z
0MVet4rbUHaOX9sEF8hn,UrbanSoccer Meudon,played,ChIJ0WKvjbh75kcRoqSmyWwW2jQ,48.80013599999999&2.2140811,2024-01-22T18:45:00.000Z
0MbzlV6YSPNVqraFJB5k,LE PARK Complexe Multisports,draft,ChIJdUHbID8O5kcRV5lQhiHTvhs,48.8337843&2.5728501,2023-11-12T19:30:00.000Z
0Meb70KBbabDJRIsELBz,FIVE ARENA MEAUX ,canceled,,48.9539465&2.9154573,2023-11-10T16:00:00.000Z
0N5zXwsB3kQ610UAh5Op,Stadium Thiais,played,,48.7511024&2.3713455,2023-11-18T12:00:00.000Z
0NAOko3NHgnOPZGqYraT,Complexe Sportif des Fillettes,published,ChIJqcAr2YZu5kcRUTijKY5WfL0,48.899311&2.3641832,2023-12-18T19:45:00.000Z
0ND6MIYjs5vyuOw0Le9N,Le Street Foot en Salle,canceled,ChIJt_AXL6Jg5kcRu6rBmnrmeUM,49.0164435&2.181307,2023-09-20T18:00:00.000Z
0NO8GVhPIE2N1osK0Lme,Play Soccer,played,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2023-12-17T16:30:00.000Z
0O38kR5Mi7mhi6S1coAX,LE FIVE Paris 18,played,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2023-12-17T10:00:00.000Z
0O7dJHj6Voi6sBd00jdr,UrbanSoccer - Asnières,played,ChIJi5LkLT9v5kcRSlhScqEFNWs,48.92192379999999&2.3068311,2023-10-19T17:00:00.000Z
0O95NKsQFCihUV1u30l0,Sun Set Soccer,played,ChIJ-2jOt33D9EcRLZL2mS5Gvz4,45.6768927&4.9409477,2023-11-26T14:00:00.000Z
0OFTbq6wIWn5YJYeLlBn,Top Ten,published,,48.8729106&2.6840919,2023-11-21T11:00:00.000Z
0OQ26cN8RTzXFMCv58Zq,Top Ten,played,,48.8729106&2.6840919,2024-01-01T16:00:00.000Z
0OkRciu2jal5zhk3hCkU,Top Ten,played,,48.8729106&2.6840919,2023-10-25T15:00:00.000Z
0OlOPEJRnUdYXTQMDQ2H,UrbanSoccer Orsay,canceled,ChIJpZIJg7J45kcRrKWKhtbfnEQ,48.70829&2.17794,2023-10-19T20:30:00.000Z
0Ozcn0nIdUObt8RVJ6jT,UrbanSoccer - Porte d'Aubervilliers,canceled,ChIJ0dXjDCZs5kcRvX0EpMwxsUY,48.9074912&2.3746518,2023-10-09T18:00:00.000Z
0P2Eel4rhCeAuUUhmfRW,LE FIVE Paris 13,played,ChIJ_bOSChhz5kcRZMTeq_6Gdzg,48.8181615&2.3658793,2023-12-27T16:00:00.000Z
