CREATED;TIMES;USER;WEEKDAYS;PLACES
09/03/2024;21:30 21:00 20:00 20:30 19:30 19:00 18:00 18:30 17:30 17:00 16:00 16:30 15:30 15:00 14:00 14:30 13:30 13:00 12:00 12:30 11:30 11:00;1p16GhrYtTIra3Z72YyT;1 2 3 4 5 6 7;UrbanSoccer - Montpellier-ChIJVXFMq4ylthIRtrZPBHOMTAc Insport Montpellier - Près d'arènes-ChIJJWIca-qvthIRHxcGJpAq4kA
15/03/2024;21:00 22:00 23:00 21:30 22:30 23:30;1q2IhzAlVQ8iZvnhOz5C;1 2 3 4 5 6 7;UrbanSoccer - Toulouse Sept Deniers-ChIJk5nUBdOkrhIRP-1aUJzo-lA UrbanSoccer - Toulouse Montaudran-ChIJl772e0u8rhIR2foRX4Xa2CI Play Soccer-ChIJQ-UxZn-5rhIRKWoQydM5T9s
03/03/2024;0,6875;1ru99KEenL7d2eF7K2sL;1 2 3 4;LE 5 DE LEGENDE-ChIJAQNaA3nc9EcRYvB35x41mBs F5 Foot Five-ChIJjUbM5G7A9EcRW3mlkrhyXxY UrbanSoccer - Lyon Parilly-ChIJx3FQWjLC9EcRrrQb2eV7i_4 We Are Sports-ChIJFZU5oBHC9EcRJTFrSkI1xxg LE FIVE OL-ChIJmz3whejH9EcR3j9ApNRukKE Sun Set Soccer-ChIJ-2jOt33D9EcRLZL2mS5Gvz4 Sport dans la Ville Rhône-Alpes-ChIJoUEDcmvr9EcRILCz6hDCQ2o
10/03/2024;18:00 19:00 20:00 21:00;1uoKuAxYMXteHSF87hml;5;LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU
13/03/2024;17:30 18:00 18:30 19:00 19:30 20:00;1wU6hlMo6m837I1nN7Bz;1 2 3 4 5;Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA
19/03/2024;14:00 13:00 13:30;1xATynmDuliJQcTTPFQh;6;Parc Charles Fenain-ChIJtSLAPQrMwkcReSd0ChE_7J0
16/03/2024;0,708333333;24gcfd5UZ9QoRasQXj44;7;UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY
17/03/2024;9:00 9:30 10:00 10:30 11:00 11:30 12:00 12:30 13:00 13:30 14:00 14:30 15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00 23:30;27yQqjqYAGfjDcARh4aX;1 2 3 4 5 6 7;LE FIVE Marville - La Courneuve-ChIJ2dHdMZxr5kcR0aKYHYsp0pY LE FIVE Sarcelles-ChIJ6_q3Fxhq5kcRCpoEwnoXX1Q LE FIVE Villette-ChIJTUFnQjps5kcR0pHITLTw1PI UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU Footbox-ChIJY-WkusIR5kcR-tEad3UtaSQ LE FIVE Montreuil-ChIJJdTQjr0T5kcRZmGxtIJVy44 Foot-Max Argenteuil-ChIJi9oIzaRm5kcRJYcK7QsdRMU Foot POWER 5-ChIJuTCIFshm5kcRBtEQJ76dAzc LE FIVE Bezons-ChIJ71Mv0Wpk5kcRg-H9x7L-dXo BIG5-ChIJsb_7TJFp5kcRSPL5VqZulr4 OHSPORT-ChIJHeG9fA4X5kcRbGNzVY5Ud5I FOOT IN FIVE-ChIJoUR0syFp5kcRUlStnwluaYY LE FIVE Bobigny-ChIJV8UONORs5kcRXxR5Qd7x130 UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ LE PARK Noisy-ChIJdUHbID8O5kcRV5lQhiHTvhs UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA LE FIVE Champigny-ChIJsXi1PLYN5kcRTVVDuczgS2s
17/02/2024;18:00 18:30 19:00 19:30 20:00 20:30;2Aqhh2sx2nOf8U7YbFpA;1 3 5 6 7;UrbanSoccer - Puteaux-ChIJM_sC0-Nk5kcRhL1y_EFIje8 UrbanSoccer La Défense-ChIJh4rnfVhk5kcRV2Q-ZKdm8vA UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs
03/03/2024;17:00 18:00 19:00;2EaV8sTM1ssPcHcsVnkh;1 2 3 4 5;UrbanSoccer Evry-ChIJW0Ut1G7e5UcRt621n2fRQ5M Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA LE PARK Servon-ChIJMU8gErUJ5kcRSnpvacKwFtM LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk
24/02/2024;0,583333333;2FHN5O9d3wFTYDoGi59X;6 7;Terrain André Calcoen-ChIJM2RViuaK3EcR5QZ91WanJ_A
