DOC_ID,MESSAGE,DATE
XpYwbhTtXtcAmOVZP0Zl,Standard de Liège ,2023-09-19T12:14:03.270Z
Xtz58mIwaZHO5TscGTgy,Raja Casablanca ,2023-09-02T22:07:28.807Z
XvWWH3UBxlaypzreoPVM,Raja de Casablanca ,2023-10-07T11:01:53.511Z
YYcuNuqtVV5NSkDZtQVt,Fc All Star Game,2023-08-08T18:37:21.418Z
YkJMHZSP9qT812wM281Y,Algérie ,2023-11-17T19:14:31.162Z
YkaH22NeBmUHHvZD1rYO,Jsk ,2023-12-14T19:39:12.599Z
Z4qOrju7inKdTfQOCtaC,Wydad Casablanca ,2023-11-06T18:19:46.821Z
Z4uSyOeZliGXz1idlvrX,Raja Casablanca,2023-11-17T12:34:31.791Z
ZHN9tcVwTWSBM23a4LzF,As Meudon,2023-09-11T17:52:04.595Z
ZKxwGzGWs95dDudXbso2,Jsk,2023-10-18T14:19:37.264Z
ZNOXlaGTOujDt7TfXTga,Panthère de Bagangté,2023-09-01T23:24:07.108Z
Zao7krecEfu3ErF0bYqj,Panthère de Bagangté ,2023-11-01T21:01:32.992Z
ZiaQhElQ38w4EK7QodxJ,Espérance ,2024-01-18T14:00:29.398Z
Zl7p8RZYM8Ljx33BR1O7,Wydad ,2023-10-10T15:56:49.663Z
a0cB05s5vh1MwycmodbR,Zmamra,2023-09-20T18:45:43.041Z
aYxeOIazicrH9r8pPkFI,Red Star,2023-10-12T15:37:37.650Z
agEDBVjFTpHkAtY70qaI,As far rabat ,2023-10-11T19:23:02.013Z
amq26BKAOydthsQbmBkD,Raja de Casablanca ,2023-12-01T08:30:39.165Z
azXxqnVlpVbCXyXXYxgD,FC Andorre ,2023-09-12T07:26:49.027Z
b024zdT0CMx7IVJQAtQC,Gf38,2023-11-04T15:53:47.841Z
b7oMsFeHBFgC7m6veAs1,Paris FC,2023-12-31T21:15:12.017Z
bDgYn9blMQLprhx1ZIxu,Étoile sportive du Sahel ,2024-01-14T13:48:15.585Z
bMI4zLwDZ4Mco7SdkSVn,Dynamo Zagreb,2023-09-20T13:13:54.469Z
bMQixyGJAPpXMWXTAyDJ,USMA d'Alger ,2023-11-28T11:04:16.275Z
bQfGN7RjAOUiba6Aywxc,Raja Casablanca ,2023-08-31T12:26:56.202Z
bZupZImBQFs84cz5Gy4R,SC Bastia,2023-09-04T12:00:44.670Z
bj2wCjywKNS6gdY0udFm,Villiers-sur-Marne,2023-12-16T17:53:34.196Z
c7Qpf3Tiu3MftYVGDHqN,Stade toulousain ,2023-09-26T17:12:10.813Z
cGHImSvMVB8u0Zm6UD5G,Mco,2023-12-07T11:44:27.574Z
cgjaZqSpc79ncHKnEAyt,MCA,2023-09-09T17:19:24.879Z
crvMAw37Wu5Mmdgmxs2q,Raja Casablanca ,2023-11-21T16:41:11.957Z
d9y4gfVCwbEnMcqCAwOI,Grenoble Foot 38 ,2023-11-06T17:52:35.682Z
dcxAJH9bJA6KQuR5dOSB,Kenitra athlétic club,2023-11-09T17:06:52.331Z
eB192OPn8dE3ZWvTNULZ,QPR,2023-10-21T12:52:12.144Z
eBLziCSLbLQ0DccPo3MK,Wydad club athletic,2023-10-17T17:50:40.602Z
eCTk5TPvfyodpmrHxjEG,Esperance sportive de Tunis,2023-09-20T17:43:41.253Z
eXOrMqIQ3ZSNJwXNLFU1,Fluminense (Brésil),2023-10-14T18:09:20.572Z
eu9k9CLxPygpC9aZeSey,Jeunesse Sportive de Kabylie ,2023-09-10T12:45:25.742Z
f1cxR64qi82IDyH9wASB,Husa,2023-10-24T17:42:05.815Z
f5j9U6SLMcZmWciE5hA2,Fc Seoul,2024-01-05T22:07:02.605Z
fMyuR2SLw9dGg5qTF0Ex,Algerie ,2023-12-06T10:38:11.393Z
fXZOAVU3ut8aGoXLVHUx,Algerie,2023-12-07T11:20:10.980Z
fZZQVTtrtL1R7LFHrwsD,Espérance sportive de Tunis ,2023-12-08T18:55:21.323Z
feIX5ucBDuSlZUyoj1fG,As Aixoise ,2023-10-16T10:19:25.656Z
fo24CcdeYc6AK3G2ivDR,FC nouadhibou,2024-01-03T18:43:02.748Z
fvLY95Tjj51hiW7m09ku,Wydad de Casablanca,2023-11-07T23:46:22.354Z
g9mgwdsNV5hA3RTKzGAa,Paris FC svppppppp 🙏🏼🙏🏼🙏🏼,2023-11-04T17:46:51.828Z
gGAf7xx5Yl0doAxZKEv8,Raja club athlétique ,2023-11-10T11:00:27.113Z
gpDmUgXNUkE4iR4plHbr,Renaissance sportive de Berkane ,2023-09-10T12:41:17.220Z
h3eU2QGsV4LohJ71GoyY,Union de Douala,2023-11-05T22:32:47.026Z
hIjboinzpYueMvZ2wAF1,Raja ,2023-09-21T21:03:05.266Z
hSKUKFble4NpXq8cJVS2,Red star fc ,2024-01-18T12:07:47.018Z
hYBXEcHGxglB7E7RyhY0,Tataouine ,2023-09-23T05:01:20.257Z
hjXtkWet6l4gJ0iuRQSj,Tataouine ,2023-09-24T09:39:14.858Z
iD8rZp84LVsg1APSKPXj,Raja Casablanca ,2023-10-24T14:36:54.240Z
iG4tGKx5IaWeOuj3fsNS,Paris FC ,2023-12-07T12:59:50.998Z
iKMzAjWVyY086MLdrS8w,Grenoble Foot 38 ,2023-08-31T07:35:31.766Z
iRo4i2gdsM6mgNNKCfQL,,2024-01-16T10:32:34.011Z
iZX11tGrukBUZJRNFGHM,Apollon limassol ,2023-10-07T21:10:59.527Z
ikhZMl49xkIER3HrHrVl,Club Africain,2023-11-08T19:35:44.876Z
irksRQqtnlMvlHo2hj6k,Barcelone ,2023-09-18T20:09:19.184Z
iroEKHAK5rhlcT7qHGHA,Raja club athlétique (Casablanca),2023-09-14T14:03:07.506Z
jCp8S7PRURgNazC9NTKE,Paris Fc,2023-11-11T14:59:04.165Z
jHXT1cPWGqNy1ObZ9HEc,Paris fc,2023-12-21T19:51:19.638Z
jtmzXwNoqApxkmVhdohT,Grenoble Foot 38,2023-11-14T09:30:39.729Z
k3hFzWnnJnDttmP3wFxQ,Jsk ,2023-12-06T22:10:18.295Z
kNB1ExLSorhPztYYCphd,Le Mans FC,2023-09-19T08:17:31.920Z
kbkTU8atveiP0NPUYyyQ,Deportivo Palestino,2023-09-19T10:27:15.360Z
kcmsr4Znfw5LZHikmsnu,Wydad Casablanca ,2023-12-15T20:45:36.986Z
kgMdj0oOhejYuVLMXg3Q,Usma,2023-12-23T00:32:13.653Z
ki0S9R2onjpj1quouOKf,Mouloudia Club d’Alger,2023-10-15T11:37:34.931Z
kn7xyfSgjGXmMonH2o2J,Espérance sportifs de Tunis ,2023-11-09T17:19:34.103Z
l5r2ScrslolcnlZqN2QU,Association Sportive Aixoise,2023-09-10T20:59:35.257Z
lPYcHmP8jpKXAsevGRqJ,Js kabylie,2023-09-04T19:22:30.825Z
lj8fn6lp7CL37j1ti0sC,Sénégal ,2023-09-19T21:47:54.191Z
mJWm4CDKFZAdjpociR3v,Madagascar ,2023-10-29T11:20:56.878Z
mWtFuh3MIikWRHY2xII3,Raja Casablanca ,2023-10-25T14:56:07.535Z
mnMoFBiPdvYacXUCabVh,Zarzis ,2023-09-10T11:34:12.351Z
mqfODVV3zvlnGL38ug8C,MCA,2024-01-03T12:19:41.024Z
mwJYfSHHCJsnzT5UGuCh,Qarabag,2023-12-15T20:21:32.940Z
nHKLmieMUfAsk71et8UJ,Étoile sportive du Sahel ,2023-12-28T19:38:07.315Z
nLSWsyYVfmV0RvOaU5Qs,Guimaraes ,2023-08-15T18:25:05.965Z
nN1v20wHXgvCDE6kGbM8,Wydad,2023-10-06T14:19:17.368Z
nagzOFFAEOrZupqMpsDl,Raja athletic club,2023-09-06T19:17:01.407Z
nffDdD2aeWxeRbYw4EuQ,Paris FC ,2023-08-05T13:15:15.882Z
niuj0V8hfAWKJyZFE1wc,Orléans,2023-10-01T19:10:27.518Z
oCHkmWrMXSbZd4KMfObU,Atlético nacional ,2023-11-22T22:24:52.123Z
oGgsmKnnyKUq3VJufG3s,Mouloudia Club Algiers ,2023-09-09T17:18:58.740Z
oM1ZXrYYC96CmNtbbn5N,AjaxTaroudant,2023-10-16T18:58:57.619Z
oWhfJ1azM2rmBqsL5RCT,FC Sochaux,2023-10-22T13:55:42.553Z
oae58ucmRnAiF2AHfhKo,Raja Casablanca ,2023-10-11T18:42:55.046Z
ojKLch2mrVj329j5yfPY,WAC Casablanca ,2023-09-15T17:37:44.376Z
pLFHObAvIwjHxmz4teJ5,Raja de Casablanca ,2023-09-19T21:09:03.501Z
pXg5L9EZn1dyLowp0plJ,Esperance de tunis ,2023-10-08T15:23:16.084Z
qE74RCRI7NXBYOMt8BPQ,Al ittihad,2023-08-18T17:10:30.160Z
qI3qLTtcwKjYW56MuvHD,AFC Richmond ,2023-11-25T13:39:00.361Z
qSGmlC1sfot4FyChIKsC,Wydad Casablanca ,2023-09-04T23:49:02.675Z
ql7ID7AIdRbjdlYasPxD,Joinville-le-Pont ,2023-12-07T12:59:31.898Z
qoYulTB2oNnuk4db0NdB,Raja Casablanca club ,2023-12-28T13:25:35.071Z
qwZQmkSXvUWegtkkilgU,Raja Casablanca,2023-09-19T15:44:31.989Z
rBWdeqllVhDrDk41gCJU,Fc Fleury 91,2023-08-09T18:13:52.555Z
rQgKgTp2bCewUTY6j9g4,Zamalek ,2023-12-19T13:44:20.701Z
rTQOrEJNCBAurfQXT1jy,Wydad,2023-11-25T13:21:56.762Z
riPnP7dRYjVlqVJJOZoj,WAC,2023-09-22T20:17:59.077Z
rzV6DQDWDAjaA6gIWZ4t,Club africain tunisien,2023-09-02T21:06:19.281Z
sTCkTvU9rtrw7SILQW3J,Raja Casablanca,2023-11-02T18:15:11.435Z
siANXaqEYN25gy2Ot2cJ,Gf38 ,2023-09-24T12:22:38.271Z
sjOH4tJv0Adzv3r4Zwkx,Algérie,2023-12-28T15:53:33.958Z
spPTpAGOJ3oXDCjrwAu2,wydad,2023-08-28T12:04:17.933Z
t1n0AwCv9MmsQGjRzj0U,Raja Athletic Club,2023-09-17T14:25:48.860Z
t9NIwVohCY5kJaDehxUb,Raja,2023-11-18T23:11:24.666Z
tKV8UhudN0YGFp0r2MGZ,Sivasspor,2023-10-27T18:56:25.227Z
tSMbyY7Cd52gmqhaKPle,F.C. Palestine ,2023-10-18T18:19:29.362Z
tlF4ci3yjjZbMYxjtlUj,Wydad club athlétique ,2023-10-22T12:50:42.466Z
toUKgq4EUV9ceD4MOsvW,Ac milan,2023-12-08T18:28:52.118Z
tqhxvsxbWACPaumWxA6i,F.C. Palestine ,2023-10-18T18:18:44.971Z
tx06Fsy4Cswvyf74JG5G,Al ahly Égypte ,2023-09-19T09:59:15.028Z
tyDrfyLBBcV880yA5aV4,FCSB,2023-11-22T17:34:29.271Z
uOtxiPerqhFj7nroU1HZ,Raja Casablanca ,2023-10-24T14:37:28.760Z
uRcvcpexQMjQcanF5RLf,Kac ,2023-11-18T16:13:15.732Z
uSf5MzhNA2RcLn9XZnaW,Brésil,2023-09-14T15:55:05.043Z
uW6fXegvOglR9f0MdSEk,Al ittihad,2023-09-07T18:04:08.213Z
ubDglkJZaTubc0tkIRwz,As FAR,2023-11-17T21:27:06.027Z
uhVEZvYIxKmazg9kuNZ7,Al-hilal,2023-09-11T14:24:03.654Z
v3clwsjgcVY1ThYhWZLt,Senegal,2023-12-03T00:12:14.899Z
vKFXsd9oBQOIV4OQAwAz,FAR,2023-11-21T12:11:33.252Z
vVG4eh47JOqSOpI20iEg,Raja Casablanca,2023-09-06T13:51:18.367Z
vjLEW36ukYPQkNpdONay,Cameroun ,2023-09-17T10:05:33.916Z
w2qKG9ERl0UbwP6eNQZa,Grenoble Foot 38,2023-12-06T09:19:23.953Z
wpNdvo0Bry0V9g2FhiJc,espérance sportive de tunisie,2023-09-15T15:01:49.190Z
x5XBQ5CCJ3S2lJ0fveS3,Entente ,2023-10-09T12:26:58.013Z
x6EYZew5JNAE2IwQIKRK,USMA d'Alger,2023-09-27T17:25:53.502Z
xPiKEHdaJ4lJdtkaJBA9,Wydad,2023-10-17T21:06:16.109Z
xYGYiJ4CzO4hHjI92CbZ,Raja Casablanca,2024-01-01T14:16:47.566Z
