DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,PRICE_UNDISCOUNTED,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED,PAYMENT_TYPE
DqdYCfAwGdhJSYrXaJCV,Stadium Thiais,hidden,pro,,48.7511024&2.3713455,2023-08-14T18:30:00.000Z,90,12,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,0,10,0,0,0,0,0,on-site
QyfR5yH0gljteiAJ2vzs,LE FIVE Morangis,canceled,captain,,48.692672&2.3192811,2023-08-14T19:15:00.000Z,90,12,,public,false,Détente,2,15IFCBlBubSyHTbhrQ2KEkDh3O02,9,10,0,0,0,0,0,on-site
QEUcl8LOf8JONmEWWzuY,Foot paris,published,captain,,48.8904693&2.3731397,2023-08-15T09:00:00.000Z,120,,,public,false,Compétition,5,6g66Hr0t8ESpVJkqTW80lI9cRdr2,6,10,0,0,0,0,0,on-site
eXbsdm7cp3xvLSTF6ydg,Stadium Thiais,canceled,pro,,48.7511024&2.3713455,2023-08-15T10:00:00.000Z,60,12,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,0,10,0,0,0,0,0,on-site
zv3LJxzcDtYxO0jWXNum,Blue Star Island,published,pro,,36.5761891&-94.8894016,2023-08-15T10:00:00.000Z,120,12,,public,false,,,f2LrY7SAV3U1V9tUVAZfiMxA3uu1,0,10,0,0,0,0,0,on-site
9DZWyHVrjU2pHUwygekV,UrbanSoccer La Défense,draft,captain,,48.8996456&2.2216773,2023-08-15T14:00:00.000Z,90,,,public,false,,,uAJ7STIZZ8atwRm2b6mzYsPj3Je2,0,0,0,0,0,0,0,on-site
EL8ee4gFUhTD1ARThQVJ,Speed Soccer Five,published,captain,,48.7360598&2.315058,2023-08-15T14:00:00.000Z,60,9,,public,true,Détente,3,uAJ7STIZZ8atwRm2b6mzYsPj3Je2,5,10,0,0,0,0,1,on-site
GuiZezchz1oGlDocHXQ0,UrbanSoccer Guyancourt,published,captain,,48.7722091&2.0600292,2023-08-15T16:00:00.000Z,60,10,,public,false,Détente,2,CrOBczekKTQvhnbuUD1E4Hd2so03,9,10,0,0,0,0,0,on-site
WKOw4suOPnn1JCpAOawg,UrbanSoccer - Lyon Parilly,canceled,captain,,45.7120399&4.9039284,2023-08-15T17:00:00.000Z,60,10,,public,false,Détente,3,hOgQGARTmneQrR1KjhckkA6PlOv2,5,10,0,0,0,0,0,on-site
h6rGJUlka0mNYFbpfExL,UrbanSoccer - Marne-La-Vallée,published,captain,,48.82658600000001&2.6296937,2023-08-15T17:00:00.000Z,60,,,public,false,Compétition,4,DVXaUvaR4zPrFICIZA5rLSmonVG2,5,10,0,0,0,0,0,on-site
yajVN3JVskD9DVCzuGN4,UrbanSoccer Evry,draft,captain,,48.6286806&2.4066436,2023-08-15T17:00:00.000Z,60,8,,public,false,,,uAJ7STIZZ8atwRm2b6mzYsPj3Je2,0,10,0,0,0,0,0,on-site
mIfBT9iNgMSonB4gF3GW,Stadium Thiais,canceled,pro,,48.7511024&2.3713455,2023-08-15T18:00:00.000Z,60,12,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,0,10,0,0,0,0,0,on-site
